lang	pool	index	old	new	status
sa	outcome.success.easy.pool	12	"कालः तूष्णीं ससार,
स्मृतेः कोणेषु निहितः।"	"कालः मौनेन ससार,
स्मृतेः कोणे निलीनः।"	CHANGED
sa	outcome.success.easy.pool	13	"आकाशः वर्णं परिवर्तितवान्,
एका कथा च समाप्तिम् अगच्छत्।"	"नभः वर्णम् अन्यं बभार,
कथा च समाप्तिम् अगच्छत्।"	CHANGED
sa	outcome.success.easy.pool	14	"तरङ्गाः शान्ताः,
समुद्रः पुनः स्वगाम्भीर्यं निगूढवान्।"	"तरङ्गाः उपशान्ताः,
समुद्रः पुनः स्वगाम्भीर्यं गोपितवान्।"	CHANGED
sa	outcome.success.easy.pool	15	"पदशब्दाः विरताः,
केवलं तत् स्थानम् अवशिष्टम्।"	"पदध्वनिः विरतः,
स्थानमात्रम् अवशिष्टम्।"	CHANGED
sa	outcome.success.easy.pool	16	"जयः पराजयश्च —
अन्ते केवलाः सिकताकणाः।"	"जयः पराजयश्च —
अन्ते सिकताकणाः एव।"	CHANGED
sa	outcome.success.easy.pool	17	"मार्गः प्रवर्तते — अथवा अत्रैव निवर्तते।
यथाकथंचित् सः तस्यामेव भूमौ स्थितः।"	"मार्गः प्रवर्तते, वा अत्रैव विरमति।
उभयथा सः अस्यामेव भूमौ स्थितः।"	CHANGED
sa	outcome.success.normal.pool	1	"दूरत्वम् अन्ततः अर्थं प्राप्तम्।
कालः तव यात्राम् प्रत्यवदत्।"	"दूरत्वम् अन्ततः अर्थवत् अभवत्।
कालः तव यात्राम् प्रत्यवदत्।"	CHANGED
sa	outcome.success.normal.pool	2	"कालः समाप्तः।
तथापि सर्वं न समाप्तम्।"	"कालः समाप्तः।
तथापि सर्वं न समाप्तम्।"	UNCHANGED
sa	outcome.success.normal.pool	3	"अक्षः लब्धः।
जगत् स्वगतिं विरमितवत्।"	"अक्षः लब्धः।
जगत् गतिं विरमितवान्।"	CHANGED
sa	outcome.success.normal.pool	4	"काचः श्वासं निरुध्य स्थितः,
त्वं च स्वस्थानं धारितवान्।"	"काचः श्वासं निरुध्य स्थितः,
त्वं च स्थानं अधारयः।"	CHANGED
sa	outcome.success.normal.pool	5	"निश्चले नभसि,
तव चित्तं न चकम्पे।"	"निश्चले नभसि,
तव चित्तं न चकम्पे।"	UNCHANGED
sa	outcome.success.normal.pool	6	"अल्पानि वस्तूनि नित्यं दीप्यन्ते।
किन्तु अयं क्षणः निर्मलः दीप्तश्च आसीत्।"	"अल्पं हि वस्तु चिरं दीप्यते।
अयं तु क्षणः निर्मलः दीप्तश्च।"	CHANGED
sa	outcome.success.normal.pool	7	"भङ्गुरां भूमिं त्वं अतीतः,
दृष्टिं च नापसारितवान्।"	"भङ्गुरां भूमिं अतीत्य,
दृष्टिं नापसारितवान्।"	CHANGED
sa	outcome.success.normal.pool	8	"क्षणः अतीतः।
यत् अवशिष्टं तत् अद्यापि तिष्ठति।"	"क्षणः गतः।
यत् अवशिष्टं, तत् अद्यापि तिष्ठति।"	CHANGED
sa	outcome.success.normal.pool	9	"भाग्यं शीघ्रं म्लायति।
क्रमः तिष्ठति।"	"भाग्यं शीघ्रं म्लायति।
ऋतं तिष्ठति।"	CHANGED
sa	outcome.success.normal.pool	10	"आकाशं अनन्तवृत्ते विरामं न जानाति,
त्वमपि न विरतवान्।"	"अनन्ते वृत्ते नभः विरामं न जानाति,
त्वमपि न विरतः।"	CHANGED
sa	outcome.success.normal.pool	11	"त्वं मध्यं प्राप्तवान्।
जगत् स्तब्धम्।"	"मध्यं प्राप्तम्।
जगत् स्तब्धम्।"	CHANGED
sa	outcome.success.normal.pool	12	"अन्ततः अत्र।
सत्यं अद्यापि दृढम्।"	"अन्ततः अत्र।
सत्यं अद्यापि दृढम्।"	UNCHANGED
sa	outcome.success.normal.pool	13	"त्वं अन्तं यावत् गतवान्।
स्मर — अयं मार्गः त्वया एव वृतः, नान्येन।"	"अन्तं यावत् गतः।
स्मर — अयं मार्गः त्वया वृतः, नान्येन।"	CHANGED
sa	outcome.success.normal.pool	14	"कालः मौने प्रविष्टः,
अन्तःकरणगहने स्थानं लब्धवान्।"	"कालः मौनं प्रविवेश,
हृदयगहने स्थानम् अलभत।"	CHANGED
sa	outcome.success.normal.pool	15	"यदा नभः वर्णं परिवर्तयत्,
कथा स्वसमाप्तिम् उपागता।"	"नभसि वर्णे परिवर्तिते,
कथा स्वसमाप्तिम् उपागता।"	CHANGED
sa	outcome.success.normal.pool	16	"आपः शान्ताः,
नभः पुनः स्वगर्तं आवृतवत्।"	"आपः उपशान्ताः,
नभः पुनः स्वगर्तम् आवृतवत्।"	CHANGED
sa	outcome.success.normal.pool	17	"पदशब्दाः शान्ताः,
केवलं तत् स्थानम् अवशिष्टम्।"	"पदध्वनिः शान्तः,
स्थानमात्रम् अवशिष्टम्।"	CHANGED
sa	outcome.success.normal.pool	18	"ज्योतिः शान्ततया अपतत्,
सर्वाः छायाः निवृत्ताः।"	"ज्योतिः शनैः अपतत्,
छायाः सर्वाः अपसृताः।"	CHANGED
sa	outcome.success.normal.pool	19	"वायुः शान्तः।
सर्वं स्वस्थानं प्रतिपन्नम्।"	"वायुः शान्तः।
सर्वं स्वस्थानम् अगच्छत्।"	CHANGED
sa	outcome.success.normal.pool	20	"क्षणमात्रं मौनम्।
जगत् पुनः स्वश्वासं समीकृतवत्।"	"क्षणं मौनम्।
जगत् पुनः स्वश्वासम् अलभत।"	CHANGED
sa	outcome.success.normal.pool	21	"चिह्नं सिकतासु गाढं लिखितम् —
यत्र वायुरपि न प्राप्नोति।"	"चिह्नं सिकतायां गाढं लिखितम् —
यत्र वायुरपि न गच्छति।"	CHANGED
sa	outcome.success.normal.pool	22	"समता पुनरागताः।
सर्वं अस्मिन् क्षणे एव संगतम्।"	"समता पुनरागता।
सर्वं अस्मै क्षणाय इव आसीत्।"	CHANGED
sa	outcome.success.normal.pool	23	"धावनं समाप्तम्।
स्पष्टम्। लब्धम्।
एतावत् पर्याप्तम्।"	"धावनं समाप्तम्।
स्पष्टम्। लब्धम्।
एतावत् अलम्।"	CHANGED
sa	outcome.success.normal.pool	24	"धावनं समाप्तम्।
मार्गः अधारयत्।
त्वमपि अधारयः।"	"धावनं समाप्तम्।
मार्गः अधारयत्।
त्वमपि अधारयः।"	UNCHANGED
sa	outcome.success.normal.pool	25	"नभः अद्यापि गच्छति।
त्वमपि शक्नोषि।"	"नभः अद्यापि चलति।
त्वमपि शक्नोषि।"	CHANGED
sa	outcome.success.normal.pool	26	"धावनं समाप्तम्।
शान्तः परिणामः।
सत्यकर्मणः भारः।"	"धावनं समाप्तम्।
शान्तः परिणामः।
सत्यकर्मणः गौरवम्।"	CHANGED
sa	outcome.success.normal.pool	27	"त्वं केवलं तं मार्गं गतवान्
यं जगत् तव पुरतः अकल्पयत्।"	"त्वं केवलं तेन मार्गेण गतः
यं जगत् तव पुरतः स्थापयामास।"	CHANGED
sa	outcome.success.normal.pool	28	"भूमिः नापतत्।
सा तव पदेषु विश्वस्तवती।"	"भूमिः नापतत्।
सा तव पदेषु विश्वस्तवती।"	UNCHANGED
sa	outcome.success.normal.pool	29	"अयं क्षणः सम्यग् अभवत्
नक्षत्राणां प्राचीनलयेन।"	"अयं क्षणः सम्यक् संगतः
नक्षत्राणां प्राचीनलयेन।"	CHANGED
sa	outcome.success.normal.pool	30	"त्वया किमपि न गृहीतम्।
किञ्चित् तु अवगतं जातम्।"	"त्वया किमपि न हृतम्।
किञ्चित् तु अवगतम्।"	CHANGED
sa	outcome.success.normal.pool	31	"त्वया लाभः न कृतः।
सत्यं यथावत् दृष्टम्।"	"त्वया लाभः न कृतः।
सत्यं यथावत् दृष्टम्।"	UNCHANGED
sa	outcome.success.normal.pool	32	"त्वया एतत् स्थानं न गृहीतम्।
त्वं अत्रैव योग्यः आसीः।"	"त्वया स्थानम् एतत् न गृहीतम्।
त्वम् अत्रैव योग्यः आसीः।"	CHANGED
sa	outcome.success.normal.pool	33	"त्वं तं मार्गं गतवान्
यः स्मृतेः अपि प्राचीनतरः।"	"त्वं तं मार्गं गतः
यः स्मृतेरपि प्राचीनतरः।"	CHANGED
sa	outcome.success.normal.pool	34	"भूमिः न प्रतिरोधम् अकरोत्।
सा त्वां प्रत्यभिज्ञातवती।"	"भूमिः न प्रतिरुरोध।
सा त्वां प्रत्यभिज्ञातवती।"	CHANGED
sa	outcome.success.normal.pool	35	"अयं क्षणः संगतः
नक्षत्राणां निश्चलशान्त्या।"	"अयं क्षणः संगतः
नक्षत्राणां निश्चलशान्त्या।"	UNCHANGED
sa	outcome.success.hard.pool	1	"उत्तरवायौ,
स्पष्टता वेगात् अधिकं तिष्ठति।"	"उत्तरवाते,
स्पष्टता वेगात् चिरतरं तिष्ठति।"	CHANGED
sa	outcome.success.hard.pool	2	"मध्यं लब्धम्।
जगत् विश्रान्तिम् अगच्छत्।"	"मध्यं लब्धम्।
जगत् विश्रान्तिम् अगच्छत्।"	UNCHANGED
sa	outcome.success.hard.pool	3	"शीतं तीक्ष्णम् आसीत्,
तथापि तव निर्णयः न म्लानः।"	"शीतं तीक्ष्णम् आसीत्,
तथापि तव निर्णयः न म्लानः।"	UNCHANGED
sa	outcome.success.hard.pool	4	"काचस्य अधः प्रकाशः चकम्पे,
किन्तु तव पदं न चकम्पे।"	"काचस्य अधः प्रकाशः अचलकत्,
तव पादः तु न चकम्पे।"	CHANGED
sa	outcome.success.hard.pool	5	"अन्धकारः समीपे आसीत्।
त्वं तथापि मार्गं ददर्श।"	"तमः समीपे आसीत्।
त्वं तथापि मार्गम् अद्राक्षीः।"	CHANGED
sa	outcome.success.hard.pool	6	"यत् भङ्गुरम् आसीत्,
तदेव त्वां परीक्षितवत्।"	"यत् भङ्गुरम् आसीत्,
तदेव त्वां परीक्षितवत्।"	UNCHANGED
sa	outcome.success.hard.pool	7	"मार्गः कठिनः आसीत्,
अन्तःशान्तिः तु दृढा आसीत्।"	"मार्गः कठिनः आसीत्,
अन्तःशान्तिः तु दृढा।"	CHANGED
sa	outcome.success.hard.pool	8	"त्वं न केवलं धावितवान्।
त्वं धैर्येण स्थितवान्।"	"त्वं न केवलं धावितवान्।
धैर्येण स्थितवान्।"	CHANGED
sa	outcome.success.hard.pool	9	"समये क्षीणे,
चित्तं तव न क्षीणम्।"	"काले क्षीणे,
तव चित्तं न क्षीणम्।"	CHANGED
sa	outcome.success.hard.pool	10	"कम्पमानायां भूमौ,
त्वं स्वध्रुवं अलभथाः।"	"कम्पमाने भूमौ,
स्वध्रुवं त्वम् अलभथाः।"	CHANGED
sa	outcome.success.hard.pool	11	"नभः निरुत्तरम् आसीत्,
तव पदानि उत्तरम् आसन्।"	"नभः निरुत्तरम् आसीत्,
तव पदानि एव उत्तरम् आसन्।"	CHANGED
sa	outcome.success.hard.pool	12	"ज्योतिः दूरम् आसीत्,
किन्तु अर्थः समीपम् आगतः।"	"ज्योतिः दूरम् आसीत्,
अर्थः तु समीपम् आगतः।"	CHANGED
sa	outcome.success.hard.pool	13	"विपत्तिरेव द्वारम् अभवत्।
त्वं तत् विवृतवान्।"	"विपद् एव द्वारम् अभवत्।
त्वं तत् विवृतवान्।"	CHANGED
sa	outcome.success.hard.pool	14	"यत्र अन्ये निवर्तन्ते,
तत्र त्वं शान्ततया अगच्छः।"	"यत्र अन्ये निवर्तन्ते,
तत्र त्वं शान्ततया अगाः।"	CHANGED
sa	outcome.success.hard.pool	15	"अन्तिमक्षणे अपि,
विकल्पः तव हस्ते आसीत्।"	"अन्तिमेऽपि क्षणे,
विकल्पः तव हस्ते आसीत्।"	CHANGED
sa	outcome.success.hard.pool	16	"ध्वनिः अल्पः आसीत्,
अर्थः तु महान्।"	"ध्वनिः अल्पः आसीत्,
अर्थः महान्।"	CHANGED
sa	outcome.success.hard.pool	17	"भङ्गुरे जगति,
एकं पदम् अपि प्रमाणम्।"	"भङ्गुरे जगति,
एकं पदम् अपि प्रमाणम्।"	UNCHANGED
sa	outcome.success.hard.pool	18	"त्वं भूमेः मौनं श्रुतवान्।
तस्मात् मार्गः प्रकाशितः।"	"भूमेः मौनं त्वया श्रुतम्।
ततः मार्गः प्रकाशितः।"	CHANGED
sa	outcome.success.hard.pool	19	"कालः द्रुतं धावितवान्,
त्वं तु न प्रमत्तः।"	"कालः शीघ्रं धावितवान्,
त्वं तु न प्रमत्तः।"	CHANGED
sa	outcome.success.hard.pool	20	"सर्वे मार्गाः संकीर्णाः आसन्।
एकः तु तव आसीत्।"	"सर्वे मार्गाः संकीर्णाः आसन्।
एकः तु तव आसीत्।"	UNCHANGED
sa	outcome.success.hard.pool	21	"त्वं छायाम् अतीतः,
ज्योतिः न स्पृशन् अपि तस्य अर्थं ज्ञातवान्।"	"छायाम् अतीत्य,
ज्योतिषः अर्थं त्वम् अवगच्छः।"	CHANGED
sa	outcome.success.hard.pool	22	"सागरः गूढः आसीत्,
तव चित्तं तस्मात् गभीरतरम्।"	"सागरः गूढः आसीत्,
तव चित्तं ततोऽपि गभीरम्।"	CHANGED
sa	outcome.success.hard.pool	23	"कठिनता आगता।
त्वं ताम् अतिथिवत् अभ्यगृह्णाः।"	"कठिनता आगता।
त्वया सा अतिथिवत् अभ्यगृह्यत।"	CHANGED
sa	outcome.success.hard.pool	24	"नक्षत्राणि मौनानि आसन्,
तव कर्म तु उक्तवत्।"	"नक्षत्राणि मौनानि आसन्,
तव कर्म तु अवदत्।"	CHANGED
sa	outcome.success.hard.pool	25	"अन्तःस्थितं धैर्यम्
बहिर्जगति रूपं प्राप्तम्।"	"अन्तःस्थितं धैर्यम्
बाह्ये रूपम् अलभत।"	CHANGED
sa	outcome.success.hard.pool	26	"त्वं न शीघ्रतमः आसीः।
त्वं अविचलिततमः आसीः।"	"न त्वं शीघ्रतमः आसीः।
अविचलिततमः आसीः।"	CHANGED
sa	outcome.success.hard.pool	27	"यदा मार्गः भग्नः इव आसीत्,
तदा त्वं अर्थं धारितवान्।"	"यदा मार्गः भग्न इव आसीत्,
तदा त्वम् अर्थं धारितवान्।"	CHANGED
sa	outcome.success.hard.pool	28	"शीतलजगति,
तव संकल्पः ऊष्मा आसीत्।"	"शीतले जगति,
तव संकल्पः एव ऊष्मा।"	CHANGED
sa	outcome.success.hard.pool	29	"विजयः घोषे न आसीत्।
सः शान्तधारणायाम् आसीत्।"	"विजयः घोषे न आसीत्।
शान्तधारणायाम् आसीत्।"	CHANGED
sa	outcome.success.hard.pool	30	"अन्तःप्रकाशः दूरतः अपि दृश्यते।
त्वया सः रक्षितः।"	"अन्तःप्रकाशः दूरतोऽपि दृश्यते।
त्वया सः रक्षितः।"	CHANGED
sa	outcome.success.hard.pool	31	"अयं न केवलं अन्तः।
अयं साक्ष्यम् आसीत्।"	"अयं न केवलम् अन्तः।
अयं साक्ष्यम्।"	CHANGED
sa	outcome.success.hard.pool	32	"सत्यं न गर्जति।
तत् केवलं तिष्ठति।
त्वया तत् दृष्टम्।"	"सत्यं न गर्जति।
तत् केवलं तिष्ठति।
त्वया तत् दृष्टम्।"	UNCHANGED
sa	outcome.timeup.easy.pool	1	"कालः समाप्तः।
मार्गः तु अद्यापि स्मरति।"	"कालः समाप्तः।
मार्गः तु अद्यापि स्मरति।"	UNCHANGED
sa	outcome.timeup.easy.pool	2	"पदानि अल्पानि आसन्,
किन्तु तानि व्यर्थानि नाभवन्।"	"पदानि अल्पानि आसन्,
तथापि व्यर्थानि नाभवन्।"	CHANGED
sa	outcome.timeup.easy.pool	3	"द्वारं न पूर्णतया विवृतम्।
तथापि त्वया तस्य शब्दः श्रुतः।"	"द्वारं न पूर्णं विवृतम्।
तथापि तस्य शब्दः त्वया श्रुतः।"	CHANGED
sa	outcome.timeup.easy.pool	4	"वायुः पुनः चलितः,
चिह्नानि सिकतासु धूसरितानि।"	"वायुः पुनः चलितः,
चिह्नानि सिकतायां धूसरितानि।"	CHANGED
sa	outcome.timeup.easy.pool	5	"ज्योतिः निवृत्तम्।
तथापि नेत्रे तस्य स्मृतिः अवशिष्टा।"	"ज्योतिः निवृत्तम्।
तस्य स्मृतिः तु नेत्रयोः अवशिष्टा।"	CHANGED
sa	outcome.timeup.easy.pool	6	"अन्तः न प्राप्तः।
किन्तु मार्गः तव पुरतः आसीत्।"	"अन्तः न प्राप्तः।
मार्गः तु तव पुरतः आसीत्।"	CHANGED
sa	outcome.timeup.easy.pool	7	"कालः त्वां अतिशीघ्रं अतीतः।
भूमिः तु तव पदानि अस्मरत्।"	"कालः त्वां शीघ्रम् अतीतः।
भूमिः तु तव पदानि अस्मरत्।"	CHANGED
sa	outcome.timeup.easy.pool	8	"कथा अविरता आसीत्,
किन्तु पृष्ठं परिवर्तितम्।"	"कथा अविरता आसीत्,
पृष्ठं तु परिवर्तितम्।"	CHANGED
sa	outcome.timeup.easy.pool	9	"तूष्णीं स्थिते जगति,
अपूर्णता अपि रूपं धारयति।"	"तूष्णीं स्थिते जगति,
अपूर्णता अपि रूपं धारयति।"	UNCHANGED
sa	outcome.timeup.easy.pool	10	"अल्पः विलम्बः,
एकं अपरं भविष्यत् पदम्।"	"अल्पः विलम्बः,
अन्यत् भविष्यत् पदम्।"	CHANGED
sa	outcome.timeup.easy.pool	11	"समुद्रः स्वगाम्भीर्यं निगूढवान्।
त्वं तटं दृष्टवान्।"	"समुद्रः स्वगाम्भीर्यं गोपितवान्।
त्वं तटं दृष्टवान्।"	CHANGED
sa	outcome.timeup.easy.pool	12	"विजयः न प्राप्तः,
परन्तु मार्गः ज्ञातः।"	"विजयः न प्राप्तः,
मार्गः तु ज्ञातः।"	CHANGED
sa	outcome.timeup.easy.pool	13	"छाया दीर्घा जाता।
दीपः पुनः प्रज्वलितुं शक्यते।"	"छाया दीर्घा जाता।
दीपः पुनः प्रज्वलितुं शक्यते।"	UNCHANGED
sa	outcome.timeup.easy.pool	14	"कालः न अनुगच्छति।
सः केवलं गच्छति।"	"कालः न प्रतीक्षते।
सः केवलं गच्छति।"	CHANGED
sa	outcome.timeup.easy.pool	15	"त्वं नष्टः नासि।
त्वं केवलं अद्य न प्राप्तवान्।"	"त्वं न नष्टः।
अद्य केवलं न प्राप्तः।"	CHANGED
sa	outcome.timeup.easy.pool	16	"अन्तः स्थगितः।
यात्रा तु न निषिद्धा।"	"अन्तः स्थगितः।
यात्रा तु न निषिद्धा।"	UNCHANGED
sa	outcome.timeup.normal.pool	1	"कालः समाप्तः।
मौनं शेषम्।"	"कालः समाप्तः।
मौनम् अवशिष्टम्।"	CHANGED
sa	outcome.timeup.normal.pool	2	"मार्गः समीपे आसीत्,
किन्तु क्षणः दूरं गतः।"	"मार्गः समीपे आसीत्,
क्षणः तु दूरं गतः।"	CHANGED
sa	outcome.timeup.normal.pool	3	"त्वं श्रुतवान्,
परन्तु उत्तरं पूर्णं नाभवत्।"	"त्वया श्रुतम्,
उत्तरं तु पूर्णं नाभवत्।"	CHANGED
sa	outcome.timeup.normal.pool	4	"नभः चलितम् एव।
त्वं अपि पुनः चलितुं शक्नोषि।"	"नभः चलत्येव।
त्वमपि पुनः चलितुं शक्नोषि।"	CHANGED
sa	outcome.timeup.normal.pool	5	"काचः शीतलः अभवत्,
पदानि तु उष्णानि आसन्।"	"काचः शीतलः अभवत्,
पदानि तु उष्णानि आसन्।"	UNCHANGED
sa	outcome.timeup.normal.pool	6	"यत् न पूर्णम्,
तदपि शिक्षां ददाति।"	"यत् न पूर्णम्,
तदपि शिक्षां ददाति।"	UNCHANGED
sa	outcome.timeup.normal.pool	7	"समयः द्वारं पिधाय गतः।
स्मृतिः तु कुञ्चिकाम् अदात्।"	"समयः द्वारं पिधाय गतः।
स्मृतिः तु कुञ्चिकाम् अदात्।"	UNCHANGED
sa	outcome.timeup.normal.pool	8	"न हानिः सर्वथा।
अर्थः अद्यापि अवशिष्टः।"	"न सर्वथा हानिः।
अर्थः अद्यापि अवशिष्टः।"	CHANGED
sa	outcome.timeup.normal.pool	9	"त्वं पतितः नासि।
त्वं केवलं विरतः।"	"त्वं न पतितः।
केवलं विरतः।"	CHANGED
sa	outcome.timeup.normal.pool	10	"पुनरागमनस्य स्थानं
मार्गे एव निहितम्।"	"पुनरागमनस्य स्थानं
मार्गे एव निहितम्।"	UNCHANGED
sa	outcome.timeup.normal.pool	11	"जगत् श्वासं पुनः समीकृतवत्,
त्वया अपि तथा कर्तव्यम्।"	"जगत् पुनः श्वासम् अलभत,
त्वयापि तथा कर्तव्यम्।"	CHANGED
sa	outcome.timeup.normal.pool	12	"विजयः अद्य न आगतः।
धैर्यं तु अद्य परीक्षितम्।"	"विजयः अद्य न आगतः।
धैर्यं तु परीक्षितम्।"	CHANGED
sa	outcome.timeup.normal.pool	13	"दूरीकृतं लक्ष्यं,
समीपं जातम् अवगमनम्।"	"लक्ष्यं दूरम् अभवत्,
अवगमः समीपम् आगतः।"	CHANGED
sa	outcome.timeup.normal.pool	14	"अन्तिमपदं न प्राप्तम्।
पूर्वपदानि तु तव आसन्।"	"अन्तिमं पदं न प्राप्तम्।
पूर्वपदानि तु तव आसन्।"	CHANGED
sa	outcome.timeup.normal.pool	15	"तूष्णीं जातं नभः।
तस्मिन् अपि उत्तरं किञ्चित् अस्ति।"	"नभः तूष्णीं जातम्।
तस्मिन्नपि किञ्चिद् उत्तरम् अस्ति।"	CHANGED
sa	outcome.timeup.normal.pool	16	"धावनं विरतम्।
अर्थः न विरतः।"	"धावनं विरतम्।
अर्थः न विरतः।"	UNCHANGED
sa	outcome.timeup.normal.pool	17	"पुनः आरभस्व।
भूमिः अद्यापि प्रतीक्षते।"	"पुनरारभस्व।
भूमिः अद्यापि प्रतीक्षते।"	CHANGED
sa	outcome.timeup.normal.pool	18	"क्षणः गतः।
संकल्पः यदि तिष्ठति, मार्गः पुनः दृश्यते।"	"क्षणः गतः।
संकल्पे स्थिते मार्गः पुनः दृश्यते।"	CHANGED
sa	outcome.timeup.normal.pool	19	"अपूर्णं न निष्फलम्।
तत् केवलं अपरं अध्यायम्।"	"अपूर्णं न निष्फलम्।
तत् केवलम् अन्यः अध्यायः।"	CHANGED
sa	outcome.timeup.normal.pool	20	"कालः जितवान्।
त्वं तु ज्ञानेन रिक्तः नासि।"	"कालः जितवान्।
त्वं तु ज्ञानशून्यः नासि।"	CHANGED
sa	outcome.timeup.hard.pool	1	"कठिने मार्गे कालः तीक्ष्णतरः आसीत्।
तथापि तव पदानि अर्थवन्ति आसन्।"	"कठिने मार्गे कालः तीक्ष्णतरः।
तथापि तव पदानि अर्थवन्ति।"	CHANGED
sa	outcome.timeup.hard.pool	2	"उत्तरवायुः अग्रे अभवत्।
त्वं तस्मिन् अपि स्थितवान्।"	"उत्तरवातः सम्मुखम् आसीत्।
त्वं तस्मिन्नपि स्थितः।"	CHANGED
sa	outcome.timeup.hard.pool	3	"मध्यं न प्राप्तम्।
परन्तु तस्य दिशां त्वया ज्ञातम्।"	"मध्यं न प्राप्तम्।
तस्य दिशा तु त्वया ज्ञाता।"	CHANGED
sa	outcome.timeup.hard.pool	4	"ज्योतिः दूरं निवृत्तम्,
किन्तु अन्धकारः सर्वं न गृहीतवान्।"	"ज्योतिः दूरं निवृत्तम्,
तमः तु सर्वं न गृहीतवत्।"	CHANGED
sa	outcome.timeup.hard.pool	5	"ध्वनिः विरतः।
अनुभवः अवशिष्टः।"	"ध्वनिः विरतः।
अनुभवः अवशिष्टः।"	UNCHANGED
sa	outcome.timeup.hard.pool	6	"कालः कठोरः आसीत्,
तव प्रयासः तु सत्यः।"	"कालः कठोरः आसीत्,
तव प्रयासः तु सत्यः।"	UNCHANGED
sa	outcome.timeup.hard.pool	7	"मार्गः भग्नः इव आसीत्।
त्वं तस्मिन् अपि पदं न्यधाः।"	"मार्गः भग्न इव आसीत्।
त्वं तस्मिन्नपि पदं न्यधाः।"	CHANGED
sa	outcome.timeup.hard.pool	8	"काचभूमिः न क्षमा आसीत्।
तथापि त्वं सावधानः अभवः।"	"काचभूमिः अक्षमाशीलाऽऽसीत्।
तथापि त्वं सावधानः अभवः।"	CHANGED
sa	outcome.timeup.hard.pool	9	"नभः मौनम् आसीत्।
तव असफलतायाम् अपि अर्थः आसीत्।"	"नभः मौनम् आसीत्।
असिद्धावपि अर्थः आसीत्।"	CHANGED
sa	outcome.timeup.hard.pool	10	"विजयः न आगतः।
धैर्यस्य बीजं तु निहितम्।"	"विजयः न आगतः।
धैर्यबीजं तु निहितम्।"	CHANGED
sa	outcome.timeup.hard.pool	11	"क्षणः हतः इव।
संकल्पः अद्यापि जीवति।"	"क्षणः हृत इव।
संकल्पः अद्यापि जीवति।"	CHANGED
sa	outcome.timeup.hard.pool	12	"यात्रा अवरुद्धा।
दिशा तु नष्टा नास्ति।"	"यात्रा अवरुद्धा।
दिशा तु न नष्टा।"	CHANGED
sa	outcome.timeup.hard.pool	13	"अन्ते रिक्तता आसीत्,
किन्तु सा अपि शिक्षिका।"	"अन्ते रिक्तता आसीत्,
सा अपि शिक्षिका।"	CHANGED
sa	outcome.timeup.hard.pool	14	"त्वं न स्वीकृतवान् हारम्।
कालः केवलं पूर्वं समाप्तः।"	"त्वं हारं न स्वीकृतवान्।
कालः केवलं पूर्वं समाप्तः।"	CHANGED
